211957547,,,en,Tue May 26 00:58:25 +0000 2015, MamaJaws not everyone I m itching to formulate an opinion but cannot because there isn t enough data ,0
550586492,,,en,Tue May 26 01:46:34 +0000 2015, PartyElle carollushka Elevians_Grrr TrafalgarTalk TrafalgarChat i would start to cry or pretend to faint both work lol,0
310567125,,,en,Tue May 26 02:08:53 +0000 2015,I puke in my mouth every time I hear Houston fans chant MVP for Harden keepdreaming,0
245343295,-79.652109,-79.652109,en,Tue May 26 02:23:31 +0000 2015, MondayNightRaw Seth needs to stop laughing so Much Gives me a cancer,0
1895525953,,,en,Tue May 26 02:29:24 +0000 2015,When boys refer to someone as a cancer and you just ,0
32346094,,,en,Tue May 26 02:32:09 +0000 2015,Nearly chopped my finger off today again I didn t faint tho D,1
152760714,-79.315417,-79.315417,en,Tue May 26 02:33:51 +0000 2015,Hope NBA does NOT allow Steph Curry to return to this game warriors have the sense to take him to the hospital Brain swelling deadly ,0
492722344,,,en,Tue May 26 02:48:20 +0000 2015,Gonna be up all night coughing,1
1421171197,,,en,Tue May 26 02:48:54 +0000 2015,Tbh though knowing what I know about concussions head trauma I WOULD NOT have him playing in this game ,0
113538718,,,en,Tue May 26 03:08:34 +0000 2015,Nvm she s bipolar af http t co 9RHUdTLZpn,0
113538718,,,en,Tue May 26 03:09:38 +0000 2015,Nvm she s bipolar af http t co 3R8Zn6PFiy,0
2779772643,,,en,Tue May 26 03:40:28 +0000 2015,Anxiety is threw the roof right now Yeahhh Fuck me,1
418803338,,,en,Tue May 26 04:12:21 +0000 2015,Anxiety is consuming me And I literally don t even know why,1
2153538187,-79.385502,-79.385502,en,Tue May 26 14:47:18 +0000 2015, shinesonED presenting on teaching thoracic ultrasound 4 trauma to nonultrasound trained trauma staff HumanFact0rz http t co jj2G10Rwug,0
23156886,,,en,Tue May 26 15:02:52 +0000 2015, kathyenglish what about the lack of fact checking in the linda chamberlain case A real slap in face for real cancer survivors ,0
